model,meeting,bucket,block_id_standard,block_id_exclusive,flagged_standard,flagged_exclusive,start,speaker_standard,speaker_exclusive,text_standard,text_exclusive
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,83,84,1,0,3740.45,SPEAKER_20,SPEAKER_20,the City of Lancaster approving an amended capital project list to be funded by the proceeds of the City of Lancaster general obligation bonds,the City of Lancaster approving an amended capital project list to be funded by the proceeds of the City of Lancaster general obligation bonds
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,85,86,1,0,3785.09,SPEAKER_19,SPEAKER_19,Thank you very much. Any additional comments from Council? Comments from the public on the resolution?,Thank you very much. Any additional comments from Council? Comments from the public on the resolution?
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,97,98,0,1,3961.47,SPEAKER_20,SPEAKER_20,all right mr. Hirsch all right resolution number 26 2025 approving an amended capital project list to be funded by the proceeds of the city of Leicester general obligation bond series 2022 motion to approve second we have a,all right mr. Hirsch all right resolution number 26 2025 approving an amended capital project list to be funded by the proceeds of the city of Leicester general obligation bond series 2022 motion to approve second we have a
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,106,107,0,1,4222.27,SPEAKER_21,SPEAKER_21,hearing none mr harris mr mann aye mr roya aye mr cleese aye mr craig aye mr hirsch aye,hearing none mr harris mr mann aye mr roya aye mr cleese aye mr craig aye mr hirsch aye
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,117,118,1,0,4506.64,SPEAKER_19,SPEAKER_19,okay yes our rate payers may see an impact if this is a loan on a grant,okay yes our rate payers may see an impact if this is a loan on a grant
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,118,119,1,0,4513.56,SPEAKER_07,SPEAKER_07,let me just this question so I don't have to get up again and so the purpose of applying for two separate applications that reason is because I know we have an application fee why can't we not combine them both for one application for Penn Vest? I think it's just because of the nature of these two,let me just this question so I don't have to get up again and so the purpose of applying for two separate applications that reason is because I know we have an application fee why can't we not combine them both for one application for Penn Vest? I think it's just because of the nature of these two
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,147,146,0,1,5076.44,SPEAKER_19,SPEAKER_19,We talked about it at that time.,We talked about it at that time.
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,148,147,0,1,5077.46,SPEAKER_07,SPEAKER_07,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,149,148,0,1,5085.15,SPEAKER_19,SPEAKER_19,Rate payers in the water system?,Rate payers in the water system?
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,153,152,0,1,5231.94,SPEAKER_18,SPEAKER_18,mayor i'm listening to what you're saying you're talking about three different things but we are also talking about um funding that was uh available from to that to 2018 to 2022 that is being moved over into administrative projects or other other you know projects that could be used for purposes suc,mayor i'm listening to what you're saying you're talking about three different things but we are also talking about um funding that was uh available from to that to 2018 to 2022 that is being moved over into administrative projects or other other you know projects that could be used for purposes suc
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,154,153,0,1,5272.52,SPEAKER_19,SPEAKER_19,for that are you speaking about the what as far as the bonds yeah which you're gonna get her a copy of where that's going to we can't change the bond at the,for that are you speaking about the what as far as the bonds yeah which you're gonna get her a copy of where that's going to we can't change the bond at the
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,155,154,0,1,5286.36,SPEAKER_18,SPEAKER_18,allocations of those funds ministry but you could use it for some of that so,allocations of those funds ministry but you could use it for some of that so
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_identical,187,184,0,1,6977.82,SPEAKER_19,SPEAKER_19,"I've been communicating with Ms. Berg and Director Campbell,","I've been communicating with Ms. Berg and Director Campbell,"
deepseek-r1-7b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_identical,189,186,1,0,7169.8,SPEAKER_19,SPEAKER_19,much this is too much,much this is too much
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,82,83,0,1,3723.4,SPEAKER_21,SPEAKER_21,"Mr. Mayor, ah I say resolution number 25 2025 mr. Harris a resolution of the Council of","Mr. Mayor, ah I say resolution number 25 2025 mr. Harris a resolution of the Council of"
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,92,93,0,1,3902.53,SPEAKER_22,SPEAKER_22,project so that bond approved a series of projects within that right and which where are you going to,project so that bond approved a series of projects within that right and which where are you going to
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,93,94,1,0,3908.05,SPEAKER_07,SPEAKER_07,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,98,99,1,0,3986.74,SPEAKER_22,SPEAKER_22,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,100,101,0,1,4035.81,SPEAKER_07,SPEAKER_07,um so when when were these projects due to be completed because we're looking at 2018 bonds in 2022 so what project in 2018 was completed and we have money left over but we didn't use that money toward the 2022 when we took out bonds in the 2018 bond issue that we just addressed then on the 2022 lis,um so when when were these projects due to be completed because we're looking at 2018 bonds in 2022 so what project in 2018 was completed and we have money left over but we didn't use that money toward the 2022 when we took out bonds in the 2018 bond issue that we just addressed then on the 2022 lis
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,102,103,1,0,4090.38,SPEAKER_07,SPEAKER_07,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,116,117,1,0,4496.76,SPEAKER_07,SPEAKER_07,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,123,124,1,0,4577.04,SPEAKER_05,SPEAKER_05,"think that's the city is trying to do that because by focusing on specific neighborhoods where there's a high number of known service lines that need to be replaced, that those could be lumped together to exactly what you're saying, like reduce that amount of fees so we don't have to pay each time a","think that's the city is trying to do that because by focusing on specific neighborhoods where there's a high number of known service lines that need to be replaced, that those could be lumped together to exactly what you're saying, like reduce that amount of fees so we don't have to pay each time a"
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,132,131,1,0,4716.54,SPEAKER_17,SPEAKER_17,"Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that ","Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that "
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,150,149,1,0,5088.29,SPEAKER_07,SPEAKER_07,"Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,","Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,"
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,151,150,0,1,5186.98,SPEAKER_17,SPEAKER_17,talking about two different things i am so appreciative that you went to the combined sewer overflow meeting which i'm going to actually give in my talk about my mayor's report that is different than the 10-year timeline for the lead and copper rule so we're talking about three different things toni,talking about two different things i am so appreciative that you went to the combined sewer overflow meeting which i'm going to actually give in my talk about my mayor's report that is different than the 10-year timeline for the lead and copper rule so we're talking about three different things toni
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,153,152,1,0,5231.94,SPEAKER_18,SPEAKER_18,mayor i'm listening to what you're saying you're talking about three different things but we are also talking about um funding that was uh available from to that to 2018 to 2022 that is being moved over into administrative projects or other other you know projects that could be used for purposes suc,mayor i'm listening to what you're saying you're talking about three different things but we are also talking about um funding that was uh available from to that to 2018 to 2022 that is being moved over into administrative projects or other other you know projects that could be used for purposes suc
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,89,90,0,1,3838.03,SPEAKER_18,SPEAKER_18,from the public on the resolution so those um those funds are going into the sewer is that,from the public on the resolution so those um those funds are going into the sewer is that
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,90,91,0,1,3853.55,SPEAKER_22,SPEAKER_22,"that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget","that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget"
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,91,92,0,1,3883.57,SPEAKER_07,SPEAKER_07,clarification did you say that the funds are going to be used toward the sewer projects because that's what she asked and i didn't hear that that were approved in the 2018 we know and now that there are funds that are left over and you're going to put them where and what capital,clarification did you say that the funds are going to be used toward the sewer projects because that's what she asked and i didn't hear that that were approved in the 2018 we know and now that there are funds that are left over and you're going to put them where and what capital
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,116,117,0,1,4496.76,SPEAKER_07,SPEAKER_07,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,123,124,1,0,4577.04,SPEAKER_05,SPEAKER_05,"think that's the city is trying to do that because by focusing on specific neighborhoods where there's a high number of known service lines that need to be replaced, that those could be lumped together to exactly what you're saying, like reduce that amount of fees so we don't have to pay each time a","think that's the city is trying to do that because by focusing on specific neighborhoods where there's a high number of known service lines that need to be replaced, that those could be lumped together to exactly what you're saying, like reduce that amount of fees so we don't have to pay each time a"
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,133,132,0,1,4796.43,SPEAKER_18,SPEAKER_18,problem it's always been a problem and it's I'm sorry once it then when when is the deadline hearse no the deadline that you have we're already at the 10th year then no it's from now it starts any years from now yeah thank you miss,problem it's always been a problem and it's I'm sorry once it then when when is the deadline hearse no the deadline that you have we're already at the 10th year then no it's from now it starts any years from now yeah thank you miss
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,139,138,1,0,4969.45,SPEAKER_24,SPEAKER_24,"number 28 Thank you, Council President. I just want, maybe just questions for Director Campbell. The interim financing as well as the PennVest loan, we've looked at the budgetary impact it would have, and it is aligned with our projections.","number 28 Thank you, Council President. I just want, maybe just questions for Director Campbell. The interim financing as well as the PennVest loan, we've looked at the budgetary impact it would have, and it is aligned with our projections."
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,148,147,0,1,5077.46,SPEAKER_07,SPEAKER_07,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,149,148,0,1,5085.15,SPEAKER_19,SPEAKER_19,Rate payers in the water system?,Rate payers in the water system?
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,150,149,0,1,5088.29,SPEAKER_07,SPEAKER_07,"Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,","Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,"
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,156,155,1,0,5290.12,SPEAKER_17,SPEAKER_17,that the bond can decrease no that's not true you can't I think mr. Harris just mentioned that it's available on the website with the materials for the meeting. It lists the projects from 2018. That was for the sewer fund. Then there's the water fund. Those were projects from 2022. Those are project,that the bond can decrease no that's not true you can't I think mr. Harris just mentioned that it's available on the website with the materials for the meeting. It lists the projects from 2018. That was for the sewer fund. Then there's the water fund. Those were projects from 2022. Those are project
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,161,160,0,1,5420.2,SPEAKER_21,SPEAKER_21,mr. Harris,mr. Harris
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_identical,195,192,1,0,7355.4,SPEAKER_19,SPEAKER_19,chair because she don't belong there i would like to have a longer conversation about this but diana's just speaking generalities that i know it's very difficult to remove a municipal government member in the state of pennsylvania it's a state matter but um yes that's my short version of that answer,chair because she don't belong there i would like to have a longer conversation about this but diana's just speaking generalities that i know it's very difficult to remove a municipal government member in the state of pennsylvania it's a state matter but um yes that's my short version of that answer
ministral-8b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_identical,196,193,1,0,7377.08,SPEAKER_14,SPEAKER_14,say much more but that speaks to the people watching on live to really really pay attention of who we're putting in these seats that we can't remove once they get there thank you,say much more but that speaks to the people watching on live to really really pay attention of who we're putting in these seats that we can't remove once they get there thank you
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,75,76,1,0,3564.71,SPEAKER_19,SPEAKER_19,"Thank you. I can somewhat address that, although it lies a little bit out of my technical expertise, but the resolution specifically references record retention and disposition schedules um and it is um that is set by um pardon i'm just going through and reading here records of pennsylvania municipa","Thank you. I can somewhat address that, although it lies a little bit out of my technical expertise, but the resolution specifically references record retention and disposition schedules um and it is um that is set by um pardon i'm just going through and reading here records of pennsylvania municipa"
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,84,85,0,1,3748.55,SPEAKER_22,SPEAKER_22,"Series of 2018. Motion to approve. Second. We have a motion and a second. Councilor Arroyo. Thank you, Council President. Resolution number 25 pertains to capital projects. As they move forward, funding adjustments are needed as expenses for some projects increase and decrease for others. These adju","Series of 2018. Motion to approve. Second. We have a motion and a second. Councilor Arroyo. Thank you, Council President. Resolution number 25 pertains to capital projects. As they move forward, funding adjustments are needed as expenses for some projects increase and decrease for others. These adju"
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,90,91,0,1,3853.55,SPEAKER_22,SPEAKER_22,"that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget","that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget"
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,98,99,1,0,3986.74,SPEAKER_22,SPEAKER_22,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,102,103,1,0,4090.38,SPEAKER_07,SPEAKER_07,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,103,104,0,1,4167.06,SPEAKER_19,SPEAKER_19,thank you thank you and I do think I don't see director Campbell either actually but there's your Tina Campbell I believe you had presented these with uh could you just speak very briefly if these are available uh online as well,thank you thank you and I do think I don't see director Campbell either actually but there's your Tina Campbell I believe you had presented these with uh could you just speak very briefly if these are available uh online as well
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,105,106,1,0,4202.97,SPEAKER_19,SPEAKER_19,that are online okay all right so attached directly to the council agenda thank you okay appreciate that but still happy to send them might have them in my email once i can get to it i will have tabs open any additional comments from the public on resolution number 26.,that are online okay all right so attached directly to the council agenda thank you okay appreciate that but still happy to send them might have them in my email once i can get to it i will have tabs open any additional comments from the public on resolution number 26.
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,110,111,0,1,4363.2,SPEAKER_19,SPEAKER_19,"Thank you very much, Councillor Hirsch. Just a question for you, because you mentioned it, and I want to put a fine point on it. The point of this funding application, this application for funding, is to complete lead line replacement at no cost to residents.","Thank you very much, Councillor Hirsch. Just a question for you, because you mentioned it, and I want to put a fine point on it. The point of this funding application, this application for funding, is to complete lead line replacement at no cost to residents."
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,111,112,0,1,4380.48,SPEAKER_05,SPEAKER_05,"Correct. Thank you. And that could range depending on, my understanding is, it could range depending on what the nature of that, because there's the pot-bullying procedure, which a more expensive way of figuring out what the what the material is um and then there's you know from that to the full rep","Correct. Thank you. And that could range depending on, my understanding is, it could range depending on what the nature of that, because there's the pot-bullying procedure, which a more expensive way of figuring out what the what the material is um and then there's you know from that to the full rep"
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,112,113,0,1,4411.54,SPEAKER_07,SPEAKER_07,on the resolution from the public you say there's going to be no call starting bird and street no cost to the residents but if it's a loan because right now you're applying for a loan it's not a grant so if we don't get a grant where there be other action by council to vote on if it's a loan because,on the resolution from the public you say there's going to be no call starting bird and street no cost to the residents but if it's a loan because right now you're applying for a loan it's not a grant so if we don't get a grant where there be other action by council to vote on if it's a loan because
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,116,117,0,1,4496.76,SPEAKER_07,SPEAKER_07,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,119,120,1,0,4533.86,SPEAKER_05,SPEAKER_05,"projects are totally different. Like one is related to the interior service line and then the other is for the water main that is going from Susquehanna to the treatment plant, from the treatment plant to the distribution network. So it's not a","projects are totally different. Like one is related to the interior service line and then the other is for the water main that is going from Susquehanna to the treatment plant, from the treatment plant to the distribution network. So it's not a"
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,120,121,1,0,4550.74,SPEAKER_07,SPEAKER_07,guideline through Penn Vest that we can apply for one and get and only pay one application fee instead of applying for two separate applications and paying two,guideline through Penn Vest that we can apply for one and get and only pay one application fee instead of applying for two separate applications and paying two
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,121,122,1,0,4561.28,SPEAKER_17,SPEAKER_17,separate application fees okay that's what I was asking if there was a way we,separate application fees okay that's what I was asking if there was a way we
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,132,131,1,0,4716.54,SPEAKER_17,SPEAKER_17,"Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that ","Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that "
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,133,132,0,1,4796.43,SPEAKER_18,SPEAKER_18,problem it's always been a problem and it's I'm sorry once it then when when is the deadline hearse no the deadline that you have we're already at the 10th year then no it's from now it starts any years from now yeah thank you miss,problem it's always been a problem and it's I'm sorry once it then when when is the deadline hearse no the deadline that you have we're already at the 10th year then no it's from now it starts any years from now yeah thank you miss
phi-4,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,139,138,1,0,4969.45,SPEAKER_24,SPEAKER_24,"number 28 Thank you, Council President. I just want, maybe just questions for Director Campbell. The interim financing as well as the PennVest loan, we've looked at the budgetary impact it would have, and it is aligned with our projections.","number 28 Thank you, Council President. I just want, maybe just questions for Director Campbell. The interim financing as well as the PennVest loan, we've looked at the budgetary impact it would have, and it is aligned with our projections."
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,73,74,1,0,3444.0,SPEAKER_14,SPEAKER_14,jessica lopez link sdpa um thank you for clarifying that um may i suggest next time that we have something like this we know these things in advance so when these questions come up you're not getting the response that you're getting from the community if you would have have known in advance that the,jessica lopez link sdpa um thank you for clarifying that um may i suggest next time that we have something like this we know these things in advance so when these questions come up you're not getting the response that you're getting from the community if you would have have known in advance that the
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,92,93,0,1,3902.53,SPEAKER_22,SPEAKER_22,project so that bond approved a series of projects within that right and which where are you going to,project so that bond approved a series of projects within that right and which where are you going to
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,93,94,0,1,3908.05,SPEAKER_07,SPEAKER_07,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,94,95,0,1,3928.55,SPEAKER_17,SPEAKER_17,between capital thank you was referencing was our operating budget capital projects are separate from our operating budget there's a capital budget and operating budget right these are capital costs in the store in this,between capital thank you was referencing was our operating budget capital projects are separate from our operating budget there's a capital budget and operating budget right these are capital costs in the store in this
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,117,118,1,0,4506.64,SPEAKER_19,SPEAKER_19,okay yes our rate payers may see an impact if this is a loan on a grant,okay yes our rate payers may see an impact if this is a loan on a grant
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,118,119,1,0,4513.56,SPEAKER_07,SPEAKER_07,let me just this question so I don't have to get up again and so the purpose of applying for two separate applications that reason is because I know we have an application fee why can't we not combine them both for one application for Penn Vest? I think it's just because of the nature of these two,let me just this question so I don't have to get up again and so the purpose of applying for two separate applications that reason is because I know we have an application fee why can't we not combine them both for one application for Penn Vest? I think it's just because of the nature of these two
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,119,120,1,0,4533.86,SPEAKER_05,SPEAKER_05,"projects are totally different. Like one is related to the interior service line and then the other is for the water main that is going from Susquehanna to the treatment plant, from the treatment plant to the distribution network. So it's not a","projects are totally different. Like one is related to the interior service line and then the other is for the water main that is going from Susquehanna to the treatment plant, from the treatment plant to the distribution network. So it's not a"
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,131,130,0,1,4706.36,SPEAKER_05,SPEAKER_05,basically accelerated the timeline on this process mm-hmm and out of the interior lines as well I didn't know I don't know if you want to speak to that,basically accelerated the timeline on this process mm-hmm and out of the interior lines as well I didn't know I don't know if you want to speak to that
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,132,131,0,1,4716.54,SPEAKER_17,SPEAKER_17,"Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that ","Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that "
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,148,147,0,1,5077.46,SPEAKER_07,SPEAKER_07,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,149,148,0,1,5085.15,SPEAKER_19,SPEAKER_19,Rate payers in the water system?,Rate payers in the water system?
qwen3.5-9b-q6,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",chunk_shifted,150,149,0,1,5088.29,SPEAKER_07,SPEAKER_07,"Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,","Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,"
