condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",45,0,1,SPEAKER_12,2523.98,30,thank you madam president the personal committee did meet on june 2nd and review a nomination for appointment to the shade tree commission and nominations for reappointment to the civil
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",49,1,0,SPEAKER_11,2624.6,34,any comments on this uh this appointment um i was just very impressed with um christopher mr sloth overall um his view on life and um his experience and background thank you very much
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",70,1,0,SPEAKER_14,2987.77,182,motioning and seconding counselor Hirsch I was you know impressed with Erica's background in the legal world and this particularly I was impressed by a story she told him which she talked about a time where she kind of had to admit that she made a mistake but felt better about bringing that to light
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",103,0,1,SPEAKER_15,3784.41,16,tonight certainly i have nothing additional to add but glad to take any questions members of
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",111,1,0,SPEAKER_04,4005.4,86,questions thank you miss Grievous to answer your question a couple things the critical repair program isn't comprised of millions of dollars it's a few hundred thousand dollars the many of the programs within this budget are for owner-occupied dwellings and if there is a tenant the landlord is requi
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",119,0,1,SPEAKER_03,4396.64,254,comment period and I just wanted to add the Spanish interpreter that was here for a translation should have been translating via is this being recorded I'm not sure if it's if it's being recorded she should have been used because she was asked to come for the spanish-speaking people in Lancaster cit
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",123,0,1,SPEAKER_02,4672.63,179,know they're doing yes so ugi is an independent contractor you'll often see trucks for miller pipeline that are working in neighborhoods that information is also available on the construction page they are responsible not only for trench repair after they dig holes in the street to replace the gas l
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",1,1,0,SPEAKER_08,120.5,17,who are willing and able please rise for the pledge of allegiance mr harris would you please
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",9,1,0,SPEAKER_03,450.28,515,lappy's new avenge chair um i just want to give a little background on me so i'm originally from harrisburg pa actually i come from a really traditional vietnamese family and they both on both sides they settled in the u.s as refugees because of the war and so growing up in central pa the dichotomy 
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",19,0,1,SPEAKER_18,1303.82,18,okay i will continue next time thank you thank you appreciate it mr harris do we have any
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",28,1,0,SPEAKER_17,1699.6,37,president and hello good evening it's very nice to see you again could you tell us about a time when you had an ethical dilemma and how you solved it yeah so um let me think here
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",31,0,1,SPEAKER_12,1787.1,95,have not I've been working on my schooling the last few years and before that we were running a business so this is kind of the first time I've had any of the free time if you will to engage in something like this and I feel like this would be a great place to do it because I love this community I l
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",35,0,1,SPEAKER_04,1878.46,39,"these policies are fully ethical good thank you that's all right thank you council president Thank you, Theodore, for your willingness to serve. How would you handle a situation where someone you know is subject to an ethics complaint?"
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",36,1,0,SPEAKER_12,1894.72,126,"Well, in that case, in a situation like this, I have my friends, I have my family, but at the end of the day, I was raised by a Marine, and it's all about the good of the entire community. It's about the good of your entire platoon, and unfortunately sometimes that means that you have to turn your b"
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",43,1,0,SPEAKER_08,2330.88,18,file and not a sharepoint link that we could access or a pdf or something like that just
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",57,1,0,SPEAKER_06,4070.22,83,really excellent so thank you mayor's Raji thank thank you I just want to when we receive the award in 2019 we are one of the high-impact HUD recipients which made us one of a handful on par with Detroit and Baltimore the state of Rhode Island and Houston and I don't mean to put you on the spot but 
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",72,1,0,SPEAKER_02,4572.15,32,happened is that correct um that's correct this one actually you guys approved back in march but because of a timing issue with the county planning's approval it's actually back before you
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",80,1,0,SPEAKER_04,4719.88,12,comments on the resolution counselor royal counselor thank you council president um
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",93,0,1,SPEAKER_05,5303.12,73,council tonight council president if i may counselor i just wanted to make the other members of council aware that the home rule study transition committee did meet on may 6th and went over both the administrative code as well as the ethics code which will be which we are currently doing the intervi
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",11,1,0,SPEAKER_12,699.22,24,"You can use either one of the mics there, Zaira, thank you, and you may just have to turn it on with the button."
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",17,0,1,SPEAKER_06,1236.72,129,time to thank you all thank you other council comments that's president thank you zyra for the presentation um thank you for all of the tremendous work that you and your department are doing it's really important I if I understood the one statistic on the one slide correctly you said that 34.8 perce
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",45,1,0,SPEAKER_08,3321.46,173,one other piece in answer to that question too uh is that i think being on ewell plaza and all of the community events that are happening in ewell plaza and bins park is growing awareness in the community of the library because it's right there and other than a couple i started with the library less
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",47,0,1,SPEAKER_10,3382.93,146,remember we had a little incident last march with uh story hour and i want to say that although it was horrible as we went through it it has brought the staff together the silver lining is we all realized what the mission and vision were and work very hard now to stay within that and to be welcoming
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",75,1,0,SPEAKER_03,3972.78,203,director campbell thank you and i just want to say to director campbell and director stephen campbell as well because i know they've worked closely together on this that i'm incredibly proud that we have this capital budget in front of us it's really it's kind of a momentous thing and i'm glad that 
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",92,1,0,SPEAKER_03,4511.74,54,very much a question for you uh one first thank you for answering the important question was that is the horse and still the native park there so thank you um and two i guess i did not realize that the facility wasn't already owned by the library so who are the owners currently
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",30,0,1,SPEAKER_11,1814.88,17,appreciate that number four staff report to planning commission um so i was just going to give
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",35,0,1,SPEAKER_07,2055.31,72,the land and so it would be you know for them to determine what was going to happen with the land because whether or not the mosaic land development goes there willow valley owns the land right and so it it would just be kind of a redetermination they probably my guess is that they would either resu
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",36,0,1,SPEAKER_08,2080.58,32,okay assumption so i just want to make sure so the plan that's currently in place would expire and they'd need to go through the whole process again if they if the
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",45,1,0,SPEAKER_03,2258.78,47,finalized our comments yet but even with it being tabled twice I'm not sure if they'll be able to get to a point where it would be able to be approved conditionally within that time frame so you can take a vote or you can table it
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",47,1,0,SPEAKER_03,2401.89,34,time they come we need to advertise for it well that's not 100 correct so if it's tabled at the hearing then they they wouldn't need to re-advertise but we would need a court
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",63,1,0,SPEAKER_07,2850.64,248,we would also have a lot more information ourselves because again as Betsy noted it the the person who's appealing the decision that was made by the zoning officer that's happening September 22nd so that will have happened at that point and um there will have been also opportunities through city cou
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",68,1,0,SPEAKER_02,3260.53,310,i mean i think it needs to be something that we continue just again just just to be able to provide information to the public about what the city is doing i mean i think as uh lauren and as staff has already uh shared there there are irons in the fire um that the city is has responded to public inpu
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",70,1,0,SPEAKER_05,3391.8,66,forward in light of transparency are we able to put this schedule that's on the bullet on the faq page just so it's easily accessible by the public to be able to see when these milestones are being met and to know when um key participation opportunities will present themselves what does it mean you 
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",73,0,1,SPEAKER_08,3553.02,71,um yeah i agree with your sentiment i mean i'll ask the uh voting members of the commission tonight if any of them are interested in making a motion to request um to us in like a packet form for our next meet at least to have for our next meeting if not discuss uh any materials provided to LMP repor
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",74,0,1,SPEAKER_02,3581.64,14,data center or if that's not legally feasible kind of a memo summarizing the
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",75,0,1,SPEAKER_08,3590.75,134,process no I mean no I think a memo still would be good like summarizing but to the point that there is a resident who has their own case to make before the zoning hearing board the original documentation and for two reasons one them having that to reflect on is like this is what it was not a summar
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",76,0,1,SPEAKER_07,3648.64,14,receive I guess I'm just unclear of what materials exactly you would like to
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",77,0,1,SPEAKER_08,3659.37,36,receive any information provided to LMP reporters you can do that through a right to know request as well we can do it through a right to know request as well but we can also do
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",78,0,1,SPEAKER_02,3671.31,57,it as a body i would i would say just receive in memo form a written summary of the process that was used to make the determination by the zoning officer is that is that like kind of a level because i can appreciate that there needs to be a level of specificity to make our request
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",88,0,1,SPEAKER_02,4131.46,241,very briefly just to clarify I think some of my earlier comments and questions that my only purpose really to suggest some of the things we talked about was really in the interest of public education I certainly did not want to give the impression that was in any way trying to undermine the credibil
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",92,1,0,SPEAKER_09,4257.86,23,so like so do you mind if i i don't want i don't want to get away from my head um i appreciate
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",96,0,1,SPEAKER_04,4444.37,17,a timeline perspective and remind me when your proposals are due and when is the decision being
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",98,0,1,SPEAKER_07,4560.23,114,occur I would also add to that that we have residences online that are not filling and so I think that there's also right and so right so but it's kind of like a circular domino effect right because if they're they're not filling so they're not building more it depends on what the builder wants to b
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",99,0,1,SPEAKER_05,4624.22,96,"waiting game yeah and I'll close with one final statement I think it would be great as a group to kind of come back and maybe huddle up I don't know what you want to call it on the comprehensive plan it's just been a while since I I think we've kind of discussed the goals, objectives, and I think ju"
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",100,0,1,SPEAKER_12,4654.39,207,"All right, and I also have my final statement. I do, I wanna just, you know, I think it's good that we're holding off on the hearing. I think it's good that we're keeping the data center as an agenda item, and I think we should revisit the idea of requesting a memo. mean i don't think it is i don't "
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",101,0,1,SPEAKER_07,4719.06,69,mean to oversimplify of course the zoning officer consulted with the city solicitor as well as additional attorneys I mean it wasn't nobody operates in a vacuum in City Hall so for sure there were other meetings what I meant to imply was more that there's not a huge paper trail and so there is proce
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",102,0,1,SPEAKER_12,4747.05,14,you're not gonna find which is also why it's really important just to have
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",5,1,0,SPEAKER_10,491.94,138,you mr. vice president the personal committee has two items on the agenda but the first item is a push to back to the next committee meeting and the second item is the nomination for reappointment to the city revitalization and Improvement Zone Authority Shelby Norman. She currently serves on the bo
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",23,0,1,SPEAKER_00,1410.76,505,you again that's a very accurate representation what what that 30-year plan shows is the work that needs to get done from now until the end of that 20 or 30 year period depending on which fund it is we anticipate each of these projects that are listed or each of these categories of projects that are
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",24,0,1,SPEAKER_12,1616.15,43,"That helps a lot. And just my follow-up question is, given that these are some of the first three-year plans, are we confident in our ability to service the whole debt, given the need for additional bonds after the planning or design phase?"
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",33,0,1,SPEAKER_04,1814.0,39,yeah yeah i mean i think this is the open forum for the community um we you know we'll provide all of that um in in march before it's actually voted on so there will be opportunities for the
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",37,0,1,SPEAKER_04,1966.69,90,yeah um so the one that i will point out is the vision zero work um so that is uh most of that that i believe it's 2.1 of the 2.7 million um is actually for matching funds for the grant that we received for the safe streets for all um we're currently unclear if we'll receive all of that federal fund
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",39,0,1,SPEAKER_04,2021.14,54,um i'll say that it's been pretty unclear at this point um we are understanding that anything that was contracted is moving ahead so that's what we're kind of going with at this point but we're still trying to kind of determine that i think um yeah thank you very much any additional questions
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",43,0,1,SPEAKER_08,2203.7,159,much now I understand you know when I read the amounts in the resolution I don't think it came up in our conversation this morning but in the resolution it said something to the effect of like the city is paying 82% of that roughly sixty to seventy thousand dollar cost now you just said that that's 
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",48,0,1,SPEAKER_10,2469.77,33,"Thank you, Constable Hirsch. Thank you, Dr. Campbell, for the presentation. What would be the role of the city in those projects? Will the city be involved in ongoing oversight of those projects?"
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",55,0,1,SPEAKER_01,2672.41,95,and i will pass it over to jen thank you hopefully i didn't push the button all right uh thank you madam mayor and student castle i'm pleased to speak to you tonight about the community development block grant substantial amendment process hopefully my screen will continue to glow up there okay befo
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",56,1,0,SPEAKER_07,2710.96,11,is it possible to speak up a little bit yes yes
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",57,0,1,SPEAKER_01,2713.28,1475,"My apologies. Is this better? Yes. Okay. Thank you. The CDBG program, which is administered by the Administration of Housing and Urban Development, provides annual grants to entitlement states, cities, and counties to help develop viable urban communities in providing funding to support the provisio"
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",62,0,1,SPEAKER_03,3519.27,166,one of the main um components is to make sure that we are spending in low to moderate census tracts or with low to moderate income individuals and we have to choose one or the other of these methodologies to ensure that we're serving low and moderate income individuals with each and every activity t
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",71,1,0,SPEAKER_07,3808.62,15,so so you're looking at probably repairing what three houses with that particular money depends
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",5,1,0,SPEAKER_14,301.99,99,councillor colleagues thank you madam president the personal committee has two items on the agenda for tonight the first item is the nomination of Stephen gross for appointment to the city revitalization and improvement zone authority mr groff is nominated due to his experience and a pair request of
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",19,0,1,SPEAKER_08,1230.89,1037,Thank You Tina Good afternoon. I'm sorry. Good evening members of council. Thank you for being let me be here tonight to work with you the presentation I handed out to you and is Will look similar for those of you who might have been here about three years ago when the last you know multi-purpose fi
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",26,0,1,SPEAKER_06,2069.94,74,sorry it's I don't know I'm sorry I do you do have it great under that three years 370 million which may be directed to the handle and I mean the since we're doing these projects being that we don't first we really don't know what's how it's gonna happen with all the federal regulations in regards t
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",28,0,1,SPEAKER_16,2157.1,61,point does that am I saying that accurately enough okay if you can talk a little bit about the budgetary impact in the individual funds and how from a budget from a financial planning and you know for the next five years how are these budgetary impacts also being looked at from a planning side yeah 
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",31,1,0,SPEAKER_15,2305.17,66,didn't talk about this but some of the work that he did in the kind of amortization is really to stack some of those so for example there's a couple are five years or ten years those are actually that financing is actually um shown more at the beginning of the the term so that doesn't stretch out as
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",35,0,1,SPEAKER_09,2579.7,24,you director Campbell that's good to know that the other municipalities are are looking to collaborate in that way thank you actually before before
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",37,0,1,SPEAKER_00,2628.56,516,about that type of discussion up until relatively recently i would say up until the last few years maybe three three to five years ago we often did our capital planning based on what was on the immediate horizon what we saw if we walked around what we perceived as the work that needed to be done or 
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",47,0,1,SPEAKER_15,2953.31,81,one more thing um we just want to talk through the the timing a little bit on this so this is an ordinance um we are planning to have the first reading obviously um next week if if that is if it's moved to that point um and then um hopefully the second reading on march 25th um that at least is the a
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",55,1,0,SPEAKER_04,3157.97,13,so do we know if records will be destroyed that has counselors at
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",60,0,1,SPEAKER_00,3253.28,142,department on trees for people so while they're getting the technology set up i want to um thank you very much for our opportunity to describe to you the trees for people program it's an initiative from um just before i got here uh which culminated in a report in 2020 i believe and at that point we 
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",61,1,0,SPEAKER_03,3341.19,197,good evening health members i'm pleased to be here today to share in updating you all as director campbell mentioned on lancaster's urban forestry program this is an effort that continues to grow in both impact and engagement at the heart of this work is our new urban forester mike meyer who in just
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",62,0,1,SPEAKER_07,3418.9,1245,you for the introduction so as a quick reintroduction to the trees for people plan this is the city's plan for improving our urban forests and also making sure that everyone in the city no matter their location or status has access to the benefits of trees and that natural environment it's a really 
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",73,0,1,SPEAKER_07,4420.46,324,"I made some promises that I wouldn't get too involved in talking about the tree inventory database, because I'm super excited about it. But I will say that we are very aware of certain species having certain problems. It's a nature kind of thing. We, of course, have the ash trees, which we've had so"
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",74,0,1,SPEAKER_06,4535.43,35,remember which tree i really like the albavita tree no but the geometry is very once it starts getting larger it's really hard to maintain but thank you so much for that information no problem
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",81,1,0,SPEAKER_13,4917.19,16,project thank you um this is for the construction of three new single family attached dwellings
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",86,0,1,SPEAKER_09,5256.81,19,a quick question uh you said that there is a hearing on april 8th that's taking place at the
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",89,0,1,SPEAKER_11,5318.6,107,"on this for quite a while now, the three parties like CEREC, SDOL, and the city. The main purpose here is ensuring that we are creating a holistic campus at this particular site around Brandon Park so that we're able to provide the park amenities, recreation services, and a new school to serve the g"
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",95,1,0,SPEAKER_05,5473.62,38,much. Do we have a context of the cost for retaining special counsel for a variety of we know that we do this for a variety of reasons. Do you have an idea of a cost of this?
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",106,1,0,SPEAKER_10,5645.64,10,Roya hi mr. Glees hi miss Diaz mr. Hershey hi
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",13,0,1,SPEAKER_00,1041.27,1768,uh good uh uh thank you tina um for that introduction and great to be before you again as indicated uh we talked about this earlier this year i know time flies here we are in september already um i put before you a narrative and uh some one financing schedule and one graph so hopefully we can walk r
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",20,0,1,SPEAKER_14,1945.78,72,and this might not be the question for you this might actually be more of a question for public works but i just see that there's an estimated four to six month delivery for the materials how solid do we feel about that given i mean i don't know what if anything is being sourced from overseas but wi
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",32,0,1,SPEAKER_14,2189.01,21,on google maps and yeah it's it's going to be like a space or two at most so that's what hurts
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",38,0,1,SPEAKER_14,2316.07,80,question um if it were up to me i would probably you know if i could wave a magic wand me personally i would take uh traffic off of the west grant street portion by market but i do know that some box trucks do go through there every now and then are we OK with the height in light of that. I don't kn
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",47,0,1,SPEAKER_14,2972.26,166,council as a whole thank you council craig just also echoing so much gratitude for the work that anchor does and in particular the willingness to collaborate with other organizations in the city i think is really commendable and it shows you know that we can do a lot to meet a lot of need um and i t
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",49,1,0,SPEAKER_13,3034.4,5,"If I may, Councilor Craig?"
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",52,1,0,SPEAKER_10,3050.7,17,"So they can visit our website at anchorlancaster.org, there is information there about volunteering and about giving."
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",53,1,0,SPEAKER_07,3059.2,26,know it's a passionate subject in our community today so the more that we can help invest our resources into organizations like yours I think it's
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",61,0,1,SPEAKER_05,3249.77,362,"good evening council good evening mayor this is a culmination of a two-year project that I've been working on with the Lancaster County Emergency Management Agency and fellow municipal leaders in emergency management to update the county hazard mitigation plan. The original plan was written in 2019,"
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",62,0,1,SPEAKER_16,3417.3,38,thank you so much i do have a question for you would this be with the grants would that be in addition to the FEMA grants as well or is that all combined so there used to be
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",63,0,1,SPEAKER_05,3430.73,86,two FEMA grants that we were eligible for one of the grant one of the grants is no longer active the grant that is still active is the hazard mitigation grant program it's centered around natural hazard resistance which is like earthquakes floods winter storms summer storms that kind of stuff so not
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",67,0,1,SPEAKER_08,3539.68,34,planning to work with the neighboring county i just wanted to make sure that the work that we're doing would cover any outside third party that is coming in and absolutely so they're currently
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",68,0,1,SPEAKER_05,3552.53,46,contracting with lebanon county and we actually had an incident since they took over that we've that we worked together on it went very seamless we don't see a difference so far but we're looking forward to the future thank you and that concludes my questions
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",72,1,0,SPEAKER_09,3631.79,19,chief mendez and i uh to have a discussion um per your comments at the last meeting i haven't
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",73,1,0,SPEAKER_16,3637.87,18,received any response from you or or the chief but you're welcome to bring that forward uh please
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",74,1,0,SPEAKER_09,3645.31,20,feel free to forward me the email request that you sent to chief and i because i didn't receive it
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",76,1,0,SPEAKER_09,3659.46,38,chief mendez and and i would just qualify that if i may and until there's a meeting right you had requested a meeting with chief and i okay thank you thank you that would be all for public
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",82,0,1,SPEAKER_07,3749.28,38,the end of september uh and mr harris correct me if i'm wrong but i believe this has to go through committee so the first meeting in november would be the or the committee meeting in november is
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",83,0,1,SPEAKER_16,3760.7,33,when committee well is it september excuse me october i'm skipping a month here all right well that would be the first committee meeting then in october and hopefully i'll get a response
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",92,0,1,SPEAKER_14,4389.5,134,yeah I think we should do this and I'll just I was just gonna quickly add just from the research that I had been doing a lot of it is just about setting up a like I mean I hate to use the word framework because that sounds very I don't know I don't know what the other word would be but just kind of 
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",11,0,1,SPEAKER_10,1670.43,145,"Folks in the room, please. But where we do need that accountability from her, and yes, from our mayor, and from you, because you had your own issues like everybody else. So, where we do need accountability, let's not get lost in what actually brought us here. An attack on our youth, our black and br"
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",20,0,1,SPEAKER_14,1867.2,18,and i live on his in his property our polite estate in the 500 block of north street
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",23,0,1,SPEAKER_15,2108.1,16,get that same leeway as other individuals but thank you and i appreciate the opportunity to
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",34,1,0,SPEAKER_19,2493.34,31,towards our black and muslim neighbors that she has been proud to display on social media most recently counselor diaz attacked counselor ahmed's identity as a refugee and in sierra mr
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",46,1,0,SPEAKER_14,3081.3,41,"Okay. I'll finish it up. Thank you. You are responsible for what you post on social media, so just be aware of that. think you do owe muslim women an apology thank you thank you mr harris our next speaker yes"
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",56,0,1,SPEAKER_10,3934.58,156,Jessica Lopez the felon with less felonies than our president huh so let me start by reminding you right that for the last five years I've been here more than every single one of yous in this room so we're user thick today I hope yous are thick in two weeks and I hope you're thick weeks after that b
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",71,0,1,SPEAKER_17,4457.75,109,thank you mr dastra uh just to interject really quickly to answer a question i will also agree that this is an unusual situation um the charter which you helped to draft does require two meetings per month so we needed to hold this meeting and also just personally even if it didn't um i would have w
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",76,0,1,SPEAKER_17,4803.6,18,know your last name can you just say your full name oh yeah ashley martinez thank you appreciate
C_size1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",92,1,0,SPEAKER_00,5918.18,5,"Council President, if I may."
C_size1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",3,0,1,SPEAKER_07,666.73,14,like to thank mr. Harris for turning them around thank you very much I
C_size1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",10,0,1,SPEAKER_07,1214.88,19,please next is alexander king mr king good evening good evening i live on the 600 block of north
C_size1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",11,0,1,SPEAKER_18,1220.72,277,"shipping street and i've been reading about the data center uh projects for lancaster city with with increasing alarm in the newspaper. My, Memphis was mentioned previously, my son lives in Memphis, goes to college there, and he's been telling me some real horror stories about how data centers in th"
